week/percentile,3,10,50,90,97
14,70.66552942,77.76487573,92.95913612,108.1533965,115.2527428
15,88.88095524,97.81029726,116.9211762,136.0320551,144.9613971
16,111.0030738,122.1548938,146.0223949,169.8898961,181.0417161
17,137.653257,151.4824627,181.0801951,210.6779275,224.5071332
18,169.4974517,186.5258547,222.9706169,259.4153791,276.4437821
19,207.2359279,228.0556916,272.6148519,317.1740121,337.9937758
20,251.589274,276.8649551,330.9608201,385.0566851,410.3323661
21,303.2804311,333.7492159,398.9595367,464.1698575,494.6386423
22,363.0127265,399.4824605,477.536215,555.5899696,592.0597036
23,431.4440736,474.7886988,567.5563275,660.3239562,703.6685815
24,509.1577514,560.3098087,669.7871665,779.2645244,830.4165816
25,596.6304397,656.5703587,784.8557948,913.1412308,973.0811499
26,694.1984654,763.9404648,913.2046439,1062.468823,1132.210823
27,802.0234868,882.5980262,1055.046373,1227.494719,1308.069258
28,920.0590868,1012.491962,1210.31992,1408.147877,1500.580752
29,1048.019941,1153.308284,1378.649947,1603.991609,1709.279953
30,1185.355363,1304.44098,1559.312035,1814.18309,1933.268708
31,1331.229051,1464.969732,1751.206048,2037.442365,2171.183046
32,1484.506827,1633.646416,1952.839996,2272.033575,2421.173165
33,1643.75394,1808.892142,2162.326491,2515.760839,2680.899041
34,1807.243243,1988.806244,2377.393504,2765.980763,2947.543765
35,1972.975114,2171.188213,2595.410573,3019.632932,3217.846032
36,2138.709509,2353.572959,2813.430961,3273.288963,3488.152413
37,2302.009907,2533.279179,3028.249473,3523.219768,3754.48904
38,2460.298327,2707.469897,3236.474827,3765.479756,4012.651326
39,2610.919906,2873.223532,3434.614599,3996.005665,4258.309291
40,2751.214949,3027.613185,3619.170012,4210.726838,4487.125074
41,2878.595823,3167.79126,3786.737086,4405.682912,4694.878348
42,2990.625652,3291.076061,3934.110158,4577.144254,4877.594663
